time,streamflow
2014-09-01 00:00:00,88.56999802030623
2014-09-01 01:00:00,88.55999802052975
2014-09-01 02:00:00,88.55999802052975
2014-09-01 03:00:00,88.54999802075326
2014-09-01 04:00:00,88.54999802075326
2014-09-01 05:00:00,88.53999802097678
2014-09-01 06:00:00,88.5299980212003
2014-09-01 07:00:00,88.5299980212003
2014-09-01 08:00:00,88.51999802142382
2014-09-01 09:00:00,88.50999802164733
2014-09-01 10:00:00,88.50999802164733
2014-09-01 11:00:00,88.49999802187085
2014-09-01 12:00:00,88.49999802187085
2014-09-01 13:00:00,88.48999802209437
2014-09-01 14:00:00,88.47999802231789
2014-09-01 15:00:00,88.47999802231789
2014-09-01 16:00:00,88.4699980225414
2014-09-01 17:00:00,88.45999802276492
2014-09-01 18:00:00,88.45999802276492
2014-09-01 19:00:00,88.44999802298844
2014-09-01 20:00:00,88.43999802321196
2014-09-01 21:00:00,88.43999802321196
2014-09-01 22:00:00,88.42999802343547
2014-09-01 23:00:00,88.41999802365899
2014-09-02 00:00:00,88.40999802388251
2014-09-02 01:00:00,88.40999802388251
2014-09-02 02:00:00,88.39999802410603
2014-09-02 03:00:00,88.38999802432954
2014-09-02 04:00:00,88.37999802455306
2014-09-02 05:00:00,88.36999802477658
2014-09-02 06:00:00,88.3599980250001
2014-09-02 07:00:00,88.34999802522361
2014-09-02 08:00:00,88.33999802544713
2014-09-02 09:00:00,88.32999802567065
2014-09-02 10:00:00,88.31999802589417
2014-09-02 11:00:00,88.30999802611768
2014-09-02 12:00:00,88.2999980263412
2014-09-02 13:00:00,88.28999802656472
2014-09-02 14:00:00,88.26999802701175
2014-09-02 15:00:00,88.25999802723527
2014-09-02 16:00:00,88.24999802745879
2014-09-02 17:00:00,88.22999802790582
2014-09-02 18:00:00,88.21999802812934
2014-09-02 19:00:00,88.20999802835286
2014-09-02 20:00:00,88.18999802879989
2014-09-02 21:00:00,88.17999802902341
2014-09-02 22:00:00,88.15999802947044
2014-09-02 23:00:00,88.14999802969396
2014-09-03 00:00:00,88.129998030141
2014-09-03 01:00:00,88.10999803058803
2014-09-03 02:00:00,88.09999803081155
2014-09-03 03:00:00,88.07999803125858
2014-09-03 04:00:00,88.05999803170562
2014-09-03 05:00:00,88.04999803192914
2014-09-03 06:00:00,88.02999803237617
2014-09-03 07:00:00,88.0099980328232
2014-09-03 08:00:00,87.98999803327024
2014-09-03 09:00:00,87.97999803349376
2014-09-03 10:00:00,87.95999803394079
2014-09-03 11:00:00,87.93999803438783
2014-09-03 12:00:00,87.91999803483486
2014-09-03 13:00:00,87.8999980352819
2014-09-03 14:00:00,87.87999803572893
2014-09-03 15:00:00,87.85999803617597
2014-09-03 16:00:00,87.839998036623
2014-09-03 17:00:00,87.81999803707004
2014-09-03 18:00:00,87.79999803751707
2014-09-03 19:00:00,87.7799980379641
2014-09-03 20:00:00,87.75999803841114
2014-09-03 21:00:00,87.73999803885818
2014-09-03 22:00:00,87.71999803930521
2014-09-03 23:00:00,87.69999803975224
2014-09-04 00:00:00,87.67999804019928
2014-09-04 01:00:00,87.65999804064631
2014-09-04 02:00:00,87.63999804109335
2014-09-04 03:00:00,87.61999804154038
2014-09-04 04:00:00,87.59999804198742
2014-09-04 05:00:00,87.57999804243445
2014-09-04 06:00:00,87.55999804288149
2014-09-04 07:00:00,87.53999804332852
2014-09-04 08:00:00,87.51999804377556
2014-09-04 09:00:00,87.4999980442226
2014-09-04 10:00:00,87.47999804466963
2014-09-04 11:00:00,87.45999804511666
2014-09-04 12:00:00,87.4399980455637
2014-09-04 13:00:00,87.41999804601073
2014-09-04 14:00:00,87.39999804645777
2014-09-04 15:00:00,87.3799980469048
2014-09-04 16:00:00,87.35999804735184
2014-09-04 17:00:00,87.33999804779887
2014-09-04 18:00:00,87.3199980482459
2014-09-04 19:00:00,87.29999804869294
2014-09-04 20:00:00,87.27999804913998
2014-09-04 21:00:00,87.25999804958701
2014-09-04 22:00:00,87.23999805003405
2014-09-04 23:00:00,87.21999805048108
2014-09-05 00:00:00,87.19999805092812
2014-09-05 01:00:00,87.17999805137515
2014-09-05 02:00:00,87.16999805159867
2014-09-05 03:00:00,87.1499980520457
2014-09-05 04:00:00,87.12999805249274
2014-09-05 05:00:00,87.10999805293977
2014-09-05 06:00:00,87.08999805338681
2014-09-05 07:00:00,87.06999805383384
2014-09-05 08:00:00,87.04999805428088
2014-09-05 09:00:00,87.02999805472791
2014-09-05 10:00:00,87.00999805517495
2014-09-05 11:00:00,86.99999805539846
2014-09-05 12:00:00,86.9799980558455
2014-09-05 13:00:00,86.95999805629253
2014-09-05 14:00:00,86.93999805673957
2014-09-05 15:00:00,86.92999805696309
2014-09-05 16:00:00,86.90999805741012
2014-09-05 17:00:00,86.90999805741012
2014-09-05 18:00:00,86.89999805763364
2014-09-05 19:00:00,86.90999805741012
2014-09-05 20:00:00,86.9199980571866
2014-09-05 21:00:00,86.93999805673957
2014-09-05 22:00:00,86.96999805606902
2014-09-05 23:00:00,86.99999805539846
2014-09-06 00:00:00,87.02999805472791
2014-09-06 01:00:00,87.06999805383384
2014-09-06 02:00:00,87.10999805293977
2014-09-06 03:00:00,87.13999805226922
2014-09-06 04:00:00,87.17999805137515
2014-09-06 05:00:00,87.2099980507046
2014-09-06 06:00:00,87.23999805003405
2014-09-06 07:00:00,87.25999804958701
2014-09-06 08:00:00,87.27999804913998
2014-09-06 09:00:00,87.29999804869294
2014-09-06 10:00:00,87.30999804846942
2014-09-06 11:00:00,87.3199980482459
2014-09-06 12:00:00,87.32999804802239
